,repo_name,topics
402,mrieppel/fitchjs,"['logic', 'latex', 'proof', 'fitch-proofs', 'javascript', 'proof-assistant']"
403,eBay/oja,"['nodejs', 'dependency-injection', 'structure', 'logic', 'javascript', 'middleware', 'discovery-service']"
404,Sintrastes/Montague,"['nlp', 'logic-programming', 'parsing', 'kripke-model']"
405,alehander92/hatlog,"['type-system', 'prolog', 'python', 'grammar']"
406,arcadio/data-logic,"['prolog', 'dsl', 'metaprogramming', 'nlp', 'logic-programming', 'expert-system', 'ontology', 'dcg', 'term-rewriting', 'symbolic-ai']"
407,ciao-lang/ciaopp,"['prolog', 'static-analysis', 'abstract-interpretation', 'ciao-prolog']"
408,wouterbeek/prolog_rdf,"['prolog', 'swi-prolog', 'linked-data', 'semantic-web', 'rdf']"
409,pveyes/smartass,"['javascript', 'interview-questions', 'nodejs', 'logic', 'questions']"
410,utahnlp/consistency,"['emnlp2019', 'nli', 'snli', 'mnli', 'consistency', 'pytorch', 'bert', 'mscoco', 'logic', 'first-order-logic', 'loss-functions', 'regularization']"
411,r4gus/nodus,"['bevy', 'bevy-engine', 'simulator', 'rust', 'logic-gates', 'logic', 'logic-circuit', 'circuit', 'gate']"
412,Bram-Hub/LEGUP,"['puzzle', 'logic-puzzles', 'logic']"
413,mndrix/regex,"['prolog', 'regular-expression', 'regex']"
414,mdiep/Logician,"['swift', 'kanren', 'logic-programming', 'solver', 'constraints']"
415,tomgrek/zincbase,"['graph-neural-networks', 'prolog', 'knowledge-graph', 'knowledge-base', 'neural-network']"
416,ianthehenry/mixologician,"['datalog', 'souffle-datalog-language', 'souffle', 'cocktails', 'logic-programming', 'mixology']"
417,prismplp/prism,"['probabilistic-models', 'probabilistic-programming', 'logic-programming', 'probabilistic-neural-network']"
418,s-arash/ascent,"['rust', 'datalog', 'logic-programming', 'lattice', 'declarative-language']"
419,pietrobarbiero/pytorch_explain,"['logic', 'pytorch', 'python', 'machine-learning', 'neural-network', 'deep-learning', 'explainability', 'explainable-ai', 'lens', 'entropy', 'sympy', 'interpretability', 'interpretable-ai', 'interpretable-deep-learning', 'interpretable-machine-learning']"
420,raydac/jprol,"['prolog', 'java', 'gui-editor', 'prolog-engine', 'engine', 'prolog-programming-language']"
421,potassco/clingo,"['answer-set-programming', 'declarative-programming', 'logic-programming']"
422,CoNarrative/precept,"['rules', 'clojure', 'clojurescript', 'functional-relational-programming', 'declarative-programming', 'functional-reactive-programming', 'logic-programming']"
423,logicmoo/logicmoo_workspace,"['logicmoo', 'prolog-programming-language', 'planner', 'mud', 'game-server', 'artifical-intelligence', 'agi']"
424,ErgoAI/ErgoEngine,"['knowledge-reasoning', 'logic-programming', 'object-oriented-programming', 'knowledge-representation-reasoning', 'ergo-reasoner', 'ergo', 'ergoreasoner', 'reasoner', 'ergo-engine']"
425,IBM/ULKB,"['knowledge-graph', 'logic', 'prover']"
426,OpenCircuits/OpenCircuits,"['circuits', 'typescript', 'designer', 'circuit-simulator', 'simulator', 'logic', 'logic-gates', 'digital-circuits', 'education', 'digital-circuit-design', 'hacktoberfest', 'circuit']"
427,philzook58/knuckledragger,"['logic', 'theorem-proving', 'proof-assistant', 'python']"
428,LukasZahradnik/PyNeuraLogic,"['machine-learning', 'deep-learning', 'graph-neural-networks', 'relational-learning', 'python', 'geometric-deep-learning', 'pytorch', 'logic-programming', 'differentiable-programming']"
429,DoctorWkt/CSCv2,"['cpu', '7400', 'logic', 'alu']"
430,Jaraxxus-Me/LogiCity,"['logic-programming', 'planning', 'reasoning', 'reinforcement-learning-environments']"
431,ai4reason/Prover9,"['theorem-prover', 'theorem-proving', 'logic', 'model-checking', 'mathematics', 'computer-science', 'first-order-logic']"
432,DevOgabek/LeetCodePythonSolutions,"['leetcode', 'leetcode-python', 'leetcode-solutions', 'logic-programming', 'solutions']"
433,mistupv/SWIPrologZ3,"['api', 'z3', 'z3-smt-solver', 'swi', 'prolog', 'c']"
434,triska/clpfd,"['constraint-programming', 'integer-arithmetic', 'clp', 'prolog', 'constraints', 'teaching']"
435,TEN-framework/ten_framework,"['ai', 'cloud-edge-computing', 'cross-language', 'cross-platform', 'workflow', 'cloud-store', 'package-management', 'c', 'cpp', 'golang', 'python', 'answer-set-programming', 'clingo', 'rust', 'plugin-system', 'ai-agents', 'javascript', 'nodejs', 'typescript']"
436,viatra/VIATRA-Generator,"['logic', 'modeling', 'graphs', 'eclipse-plugin']"
437,acharal/wam,"['wam', 'logic-programming', 'warren', 'machine', 'prolog-compiler', 'prolog']"
438,CapelliC/hitchhicker-prolog,"['logic-programming', 'javascript', 'prolog', 'prolog-implementation', 'semantic-publishing', 'nodejs', 'browser', 'virtual-machine']"
439,microsoft/service-fabric-healer,"['service-fabric', 'logic-programming', 'auto-mitigation', 'windows', 'linux', 'guan', 'csharp', 'net6']"
440,wernsey/Jatalog,"['datalog', 'datalog-engine', 'logic-programming', 'evaluation-engine']"
441,aclai-lab/ModalDecisionTrees.jl,"['decision-trees', 'logic', 'machine-learning', 'modal-logic', 'symbolic-learning', 'time-series-classification']"
442,sudiptog81/ducscode,"['cs', 'cpp', 'du', 'prolog', 'java', 'javascript', 'assembly', 'system-architecture', 'hacktoberfest']"
443,newca12/scala-atp,"['scala', 'scala-port', 'logic']"
444,sdleffler/whisper,"['logic-programming', 'rust', 'rust-lang', 'dsl', 'unification', 'backtracking-search']"
445,utahnlp/layer_augmentation,"['acl2019', 'nli', 'logic', 'attention-mechanism', 'attention', 'pytorch', 'first-order-logic', 'decomposable-attention', 'snli']"
446,agustingianni/Utilities,"['ida', 'idapython', 'scripts', 'arm', 'prolog', 'vulndev', 'research', 'exploiting']"
447,uclnlp/ntp,"['tensorflow', 'nips-2017', 'deep-learning', 'prolog']"
448,lps-js/lps-studio,"['gui', 'app', 'lps', 'electron', 'electron-app', 'visualisation', 'visualization', 'simulation', 'html5', 'canvas', 'html5-canvas', 'ai', 'artificial-intelligence', 'logic', 'logic-programming']"
449,GGBRW/BOOLR,"['digital', 'logic-gates', 'logic', 'simulation', 'simulator']"
450,schwering/limbo,"['logic', 'reasoning', 'knowledge', 'beliefs']"
451,acl2/acl2,"['acl2', 'theorem-prover', 'theorem-proving', 'common-lisp', 'rewriting', 'formal-verification', 'formal-methods', 'first-order-logic', 'logic']"
452,bnidia/ft_printf,"['algorithms', 'logic', 'rigor', 'unix']"
453,diagram-of-thought/diagram-of-thought,"['large-language-models', 'llm', 'reasoning', 'logic', 'math']"
454,Farfi55/CookedUp,"['answer-set-programming', 'game', 'overcooked', 'unical', 'unity', 'unity3d']"
455,rla/prolog-target-js,"['swi-prolog', 'transpiler', 'javascript']"
456,triska/proloxy,"['prolog', 'swi-prolog', 'proxy-server', 'https-proxy', 'https', 'http-proxy', 'websocket-connection']"
457,spamegg1/Epp-Discrete-Math-5th-solutions,"['algorithmic-complexity', 'big-o', 'circuits', 'computer-science', 'counting', 'discrete-mathematics', 'finite-state-automata', 'functions', 'graphs', 'logic', 'number-theory', 'probability', 'proofs', 'regular-expressions', 'relations', 'sets', 'trees']"
458,lab-v2/pyreason,"['logic', 'logic-programming', 'machine-learning', 'neurosymbolic', 'python', 'temporal-logic']"
459,kmtusher97/Knowledge-Based-QA-System-with-Python-and-Prolog,"['knowledge-based-systems', 'python3', 'prolog', 'prolog-application', 'prolog-python', 'chatbot', 'chatbots', 'python']"
460,DeMaCS-UNICAL/LoIDE,"['ide', 'logic-programming', 'web-based-ide', 'logic-formalisms', 'logic-based-languages', 'web-app', 'web-application', 'editing', 'editor', 'web-editor']"
461,bnediction/bonesis,"['answer-set-programming', 'boolean-networks', 'synthesis', 'systems-biology']"
462,anskarl/LoMRF,"['scala', 'machine-learning', 'logic', 'probabilistic-programming', 'inference', 'graphical-models']"
463,guregu/trealla-js,"['javascript', 'logic-programming', 'prolog', 'webassembly']"
464,rla/simple-template,"['template-engine', 'swi-prolog']"
465,aclai-lab/SoleLogics.jl,"['logic', 'modal-logic', 'symbolic-learning']"
466,LaMatemaga/CF-Matematicas,"['discrete-mathematics', 'spanish', 'programming-exercises', 'logic', 'set-theory', 'fundamentals-of-programming', 'graph-theory', 'mathematics', 'codigo-facilito']"
467,pchampio/othello-prolog,"['prolog', 'logic-programming', 'board-game', 'student-project', 'othello-game', 'swipl', 'alpha-beta', 'minmax', 'artificial-intelligence', 'univ-lemans']"
468,thautwarm/RSolve,"['solvers', 'logic-programming']"
469,rachelwiles/GoT-Check,"['game-of-thrones', 'got', 'prolog', 'prolog-implementation', 'prolog-programming-language', 'prolog-application', 'swi-prolog', 'prolog-exercises', 'prolog-tutorial', 'prolog-rules', 'family-tree', 'database']"
470,hylang/hydiomatic,"['python', 'minikanren', 'logic-programming', 'hy', 'static-code-analysis', 'symbolic-computation']"
471,ML-KULeuven/problog,"['problog', 'prolog', 'aproblog', 'dtproblog', 'probabilistic', 'probabilistic-inference', 'probabilistic-programming', 'probabilistic-logic-programming', 'lfi-problog']"
472,klaudiosinani/awesome-prolog,"['awesome', 'prolog', 'list', 'logic', 'programming']"
473,martinmogusu/course_advisor,"['prolog', 'expert-system', 'artificial-intelligence', 'knowledge-representation']"
474,ColemanGariety/derivation-machine,"['logic', 'calculus', 'premise', 'homework', 'conclusion']"
475,mrieppel/TruthTableGenerator,"['truth-table', 'logic', 'semantics', 'javascript', 'latex']"
476,typedb/typedb,"['database', 'knowledge-base', 'knowledge-representation', 'reasoning', 'logic', 'inference', 'typedb', 'typeql', 'type-system', 'strongly-typed', 'polymorphic', 'polymorphism']"
477,aclai-lab/Sole.jl,"['artificial-intelligence', 'julia', 'logic', 'symbolic-learning']"
478,matsud224/wamcompiler,"['warren-abstract-machine', 'wam', 'prolog', 'compiler', 'common-lisp']"
479,steshaw/plt,"['programming-languages', 'type-theory', 'functional-programming', 'category-theory', 'logic', 'proof-theory']"
480,kanugurajesh/RAG-Gemini,"['gemini-api', 'logic-programming', 'pineconedb', 'retrieval-augmented-generation', 'semantic-search', 'typescript', 'vector-database', 'script', 'generative-ai', 'rag-template']"
481,triska/bitcoinolog,"['bitcoin', 'prolog', 'bitcoin-wallet', 'elliptic-curves', 'cryptocurrency', 'offline-capable']"
482,leopoglia/java,"['java', 'logic', 'oriented-object-programming']"
483,sasagawa888/Elxlog,"['prolog', 'elixir']"
484,mndrix/func,"['prolog', 'functions']"
