,repo_name,topics
82,shettyvarshaa/PRINCIPLES-OF-AI,"['alphabeta-pruning', 'artificial-intelligence', 'chatbot', 'crossword-puzzle', 'fuzzy-logic', 'nimgame', 'prolog-programming-language']"
83,grafana/thema,"['openapi', 'openapi3', 'cue', 'cuelang', 'grafana', 'schema', 'versioning', 'packaging', 'logic-programming', 'config']"
84,Braden1996/Cracking-the-Coding-Interview-TypeScript,"['typescript', 'algorithms', 'data-structures', 'logic', 'cracking-the-coding-interview', 'ts-jest', 'tslint', 'prettier']"
85,rutgerswiselab/NLR,"['neural', 'logic', 'reasoning']"
86,nuric/deeplogic,"['logic-programming', 'deep-learning']"
87,Jumaruba/LPL-solutions,"['lpl', 'logic', 'proof', 'fitch-proofs', 'fitch']"
88,DoctorWkt/TTL_TicTacToe,"['ttl', 'game', 'logic', 'circuit']"
89,daidr/truth-table,"['truth-table', 'truth-table-generator', 'math', 'logic']"
90,emarzion/SystemT,"['mathematics', 'logic', 'mathematical-logic']"
91,gralog/gralog,"['graph', 'algorithm', 'logic', 'visualization']"
92,pietrobarbiero/constraint-learning,"['neural-network', 'deep-learning', 'logic', 'explainable-ai', 'constraints', 'learning', 'python', 'pytorch', 'notebook-jupyter']"
93,RichardMoot/LinearOne,"['linear-logic', 'first-order-logic', 'theorem-proving', 'proof-net', 'displacement-calculus-grammars', 'swi-prolog', 'logic-programming', 'latex']"
94,namin/scalogno,"['scala', 'smt', 'tabling', 'metaprogramming', 'logic-programming']"
95,pkMinhas/MaschineKitDuplicator,"['maschine', 'daw', 'flstudio', 'ableton', 'logic']"
96,EricZinda/InductorProlog,"['prolog-implementation', 'prolog-compiler', 'inductor-prolog-engine', 'prolog', 'cpp']"
97,fnogatz/dcg4pt,"['prolog', 'parsing', 'grammar', 'definite-clause-grammar']"
98,ana-molinos/fund_prog,"['algorithm', 'algorithms', 'algoritmos', 'c', 'logic-programming', 'logica-de-programacao']"
99,xf-zhao/LoT,"['chain-of-thought', 'chain-of-thought-prompting', 'chain-of-thought-reasoning', 'chain-of-thoughts', 'language', 'language-model', 'llm', 'llms', 'logic', 'lot', 'reasoning', 'symbolic-logic', 'symbolic-logic-reasoning', 'zero-shot', 'coling', 'coling2024']"
100,SAP-samples/build-codejam,"['data-access', 'logic', 'sample', 'sap-build-apps', 'sap-build-process-automation', 'ui', 'sap-build-work-zone', 'sap-codejam']"
101,xamidi/pmGenerator,"['proof-theory', 'propositional-calculus', 'hpc', 'tbb', 'logic', 'condensed-detachment', 'proof-complexity', 'mpi', 'formal-proofs', 'hilbert-systems', 'frege-systems', 'mathematical-logic', 'unification']"
102,MNoorFawi/pytholog,"['symbolic-artificial-intelligence', 'logic-programming', 'neuro-symbolic-learning', 'python', 'prolog', 'prolog-syntax', 'backtracking']"
103,glennstreet/awesome-philosophy-compsci,"['computer-science', 'philosophy', 'logic', 'prolog']"
104,awalterschulze/gominikanren,"['go', 'minikanren', 'logic-programming']"
105,flandreas/antares,"['digital', 'circuit', 'simulation', 'education', 'learning', 'simulator', 'logic']"
106,uuverifiers/princess,"['logic', 'smt', 'smt-lib', 'smt-solver', 'theorem-prover']"
107,huangyz0918/TankLogo,"['tank', 'tank-game', 'game', 'netlogo', 'logic-programming', 'tech', 'teaching']"
108,triska/trs,"['trs', 'prolog', 'term-rewriting']"
109,eazar001/yesbot,"['prolog', 'swi-prolog', 'bot', 'irc-bot', 'irc-client', 'irc']"
110,MatthiasNickles/diff-SAT,"['satisfiability', 'answer-set-programming', 'optimization', 'probabilistic-programming', 'artificial-intelligence', 'sat-solver', 'logic-programming', 'psat', 'constraint-programming', 'differentiable-satisfiability', 'differentiable-programming', 'dimacs-cnf', 'probabilistic-asp', 'probabilistic-satisfiability', 'multi-models-optimization', 'weighted-sat-solving', 'probabilistic', 'probability']"
111,daviromero/anita,"['logic', 'analytic-tableaux', 'proof-assistant', 'teaching-tools']"
112,mountain/knowledge,"['clojure', 'knowledge', 'logic-programming', 'wikidata']"
113,dirkschumacher/logician,"['r', 'prolog', 'datalog', 'logic-programming']"
114,haldai/Jurassic.pl,"['prolog', 'julia', 'swi-prolog', 'interface']"
115,twolodzko/prolog-rs,"['prolog', 'prolog-implementation', 'prolog-interpreter', 'rust', 'rust-lang']"
116,fwcd/curry-language-server,"['curry', 'functional-programming', 'logic-programming', 'language-server-protocol', 'haskell']"
117,StrykerKKD/Logical,"['ocaml', 'logic-programming', 'microkanren']"
118,ljos/ob-prolog,"['emacs-lisp', 'org-mode', 'literate-programming', 'prolog']"
119,chicolucio/truth-table-generator,"['truth-table', 'logic', 'truth-table-generator', 'truth-tables', 'ttg', 'pandas-styling']"
120,Scrounger/ioBroker.linkeddevices,"['iobroker', 'iobroker-adapter', 'logic']"
121,Periklismant/oPIEC,"['complex-event-processing', 'complex-event-recognition', 'stream-reasoning', 'event-calculus', 'probabilistic-reasoning', 'activity-recognition', 'logic-programming']"
122,para-droid-ai/scratchpad,"['logic', 'model', 'reasoning', 'scratchpad']"
123,adyavanapalli/stanford-introduction-to-mathematical-thinking,"['logic', 'mathematical-thinking', 'mathematical-logic', 'stanford', 'coursera', 'number-theory', 'real-analysis']"
