name,starsCount,forksCount,watchersCount,createdAt,description,githubPage,ownedByOrg,owner,language,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
